CMDLINE mpiexec -np 4 python DgaMain.py
CHLD 3 87.738281 1645770835.6466
CHLD 4 87.730469 1645770835.6467
MEM 1.707031 1645770835.7502
CHLD 0 1.753906 1645770835.7622
CHLD 1 87.738281 1645770835.7622
CHLD 2 87.726562 1645770835.7623
CHLD 3 87.738281 1645770835.7624
CHLD 4 87.730469 1645770835.7625
MEM 1.707031 1645770835.8665
CHLD 0 1.753906 1645770835.8686
CHLD 1 87.738281 1645770835.8687
CHLD 2 87.726562 1645770835.8687
CHLD 3 87.738281 1645770835.8688
CHLD 4 87.730469 1645770835.8689
MEM 1.707031 1645770836.0305
CHLD 0 1.753906 1645770836.0388
CHLD 1 87.738281 1645770836.0389
CHLD 2 87.726562 1645770836.0390
CHLD 3 87.738281 1645770836.0390
CHLD 4 87.730469 1645770836.0391
MEM 1.707031 1645770836.1398
CHLD 0 1.753906 1645770836.1420
CHLD 1 87.738281 1645770836.1421
CHLD 2 87.726562 1645770836.1421
CHLD 3 87.738281 1645770836.1422
CHLD 4 87.730469 1645770836.1423
MEM 1.707031 1645770836.2427
CHLD 0 1.753906 1645770836.2450
CHLD 1 87.738281 1645770836.2451
CHLD 2 87.726562 1645770836.2451
CHLD 3 87.738281 1645770836.2452
CHLD 4 87.730469 1645770836.2453
MEM 1.707031 1645770836.3466
CHLD 0 1.753906 1645770836.3492
CHLD 1 87.738281 1645770836.3492
CHLD 2 87.726562 1645770836.3493
CHLD 3 87.738281 1645770836.3494
CHLD 4 87.730469 1645770836.3495
MEM 1.707031 1645770836.4499
CHLD 0 1.753906 1645770836.4521
CHLD 1 87.738281 1645770836.4522
CHLD 2 87.726562 1645770836.4522
CHLD 3 87.738281 1645770836.4523
CHLD 4 87.730469 1645770836.4523
MEM 1.707031 1645770836.5532
CHLD 0 1.753906 1645770836.5558
CHLD 1 89.460938 1645770836.5559
CHLD 2 89.625000 1645770836.5560
CHLD 3 89.632812 1645770836.5561
CHLD 4 89.648438 1645770836.5562
MEM 1.707031 1645770836.6573
CHLD 0 1.753906 1645770836.6599
CHLD 1 90.187500 1645770836.6601
CHLD 2 97.984375 1645770836.6601
CHLD 3 99.125000 1645770836.6602
CHLD 4 98.507812 1645770836.6603
MEM 1.707031 1645770836.7610
CHLD 0 1.753906 1645770836.7638
CHLD 1 110.292969 1645770836.7639
CHLD 2 109.242188 1645770836.7640
CHLD 3 110.187500 1645770836.7641
CHLD 4 109.250000 1645770836.7642
MEM 1.707031 1645770836.8677
CHLD 0 1.753906 1645770836.8701
CHLD 1 110.292969 1645770836.8701
CHLD 2 109.246094 1645770836.8702
CHLD 3 110.187500 1645770836.8703
CHLD 4 109.253906 1645770836.8704
MEM 1.707031 1645770836.9750
CHLD 0 1.753906 1645770836.9838
CHLD 1 110.296875 1645770836.9839
CHLD 2 100.675781 1645770836.9840
CHLD 3 101.621094 1645770836.9841
CHLD 4 100.683594 1645770836.9842
MEM 1.707031 1645770837.0853
CHLD 0 1.753906 1645770837.0877
CHLD 1 101.726562 1645770837.0878
CHLD 2 106.164062 1645770837.0879
CHLD 3 110.562500 1645770837.0879
CHLD 4 101.390625 1645770837.0880
MEM 1.707031 1645770837.1892
CHLD 0 1.753906 1645770837.1916
CHLD 1 110.449219 1645770837.1917
CHLD 2 110.546875 1645770837.1917
CHLD 3 110.562500 1645770837.1918
CHLD 4 110.554688 1645770837.1920
MEM 1.707031 1645770837.3042
CHLD 0 1.753906 1645770837.3070
CHLD 1 110.449219 1645770837.3072
CHLD 2 110.546875 1645770837.3073
CHLD 3 110.562500 1645770837.3073
CHLD 4 110.554688 1645770837.3078
MEM 1.707031 1645770837.4097
CHLD 0 1.753906 1645770837.4122
CHLD 1 110.449219 1645770837.4123
CHLD 2 134.441406 1645770837.4123
CHLD 3 145.597656 1645770837.4124
CHLD 4 110.554688 1645770837.4125
MEM 1.707031 1645770837.5136
CHLD 0 1.753906 1645770837.5172
CHLD 1 110.449219 1645770837.5173
CHLD 2 132.511719 1645770837.5174
CHLD 3 144.863281 1645770837.5175
CHLD 4 130.359375 1645770837.5176
MEM 1.707031 1645770837.6180
CHLD 0 1.753906 1645770837.6205
CHLD 1 111.324219 1645770837.6206
CHLD 2 135.617188 1645770837.6207
CHLD 3 142.164062 1645770837.6208
CHLD 4 135.613281 1645770837.6208
MEM 1.707031 1645770837.7215
CHLD 0 1.753906 1645770837.7241
CHLD 1 112.273438 1645770837.7241
CHLD 2 104.078125 1645770837.7242
CHLD 3 111.804688 1645770837.7244
CHLD 4 100.593750 1645770837.7262
MEM 1.707031 1645770837.8275
CHLD 0 1.753906 1645770837.8301
CHLD 1 112.781250 1645770837.8302
CHLD 2 106.730469 1645770837.8303
CHLD 3 111.984375 1645770837.8304
CHLD 4 106.730469 1645770837.8305
MEM 1.707031 1645770837.9312
CHLD 0 1.753906 1645770837.9338
CHLD 1 112.894531 1645770837.9339
CHLD 2 106.738281 1645770837.9340
CHLD 3 111.992188 1645770837.9341
CHLD 4 106.750000 1645770837.9342
MEM 1.707031 1645770838.0350
CHLD 0 1.753906 1645770838.0375
CHLD 1 113.421875 1645770838.0376
CHLD 2 106.738281 1645770838.0377
CHLD 3 111.992188 1645770838.0378
CHLD 4 106.753906 1645770838.0378
MEM 1.707031 1645770838.1476
CHLD 0 1.753906 1645770838.1499
CHLD 1 113.597656 1645770838.1500
CHLD 2 106.746094 1645770838.1501
CHLD 3 111.996094 1645770838.1501
CHLD 4 106.761719 1645770838.1502
MEM 1.707031 1645770838.2555
CHLD 0 1.753906 1645770838.2581
CHLD 1 113.613281 1645770838.2582
CHLD 2 106.750000 1645770838.2583
CHLD 3 112.003906 1645770838.2584
CHLD 4 106.765625 1645770838.2585
MEM 1.707031 1645770838.3597
CHLD 0 1.753906 1645770838.3622
CHLD 1 146.816406 1645770838.3623
CHLD 2 106.753906 1645770838.3624
CHLD 3 112.003906 1645770838.3625
CHLD 4 106.765625 1645770838.3625
MEM 1.707031 1645770838.4639
CHLD 0 1.753906 1645770838.4691
CHLD 1 141.972656 1645770838.4692
CHLD 2 106.761719 1645770838.4693
CHLD 3 112.011719 1645770838.4694
CHLD 4 106.765625 1645770838.4695
MEM 1.707031 1645770838.5706
CHLD 0 1.753906 1645770838.5733
CHLD 1 141.976562 1645770838.5734
CHLD 2 106.761719 1645770838.5735
CHLD 3 112.011719 1645770838.5736
CHLD 4 106.773438 1645770838.5737
MEM 1.707031 1645770838.6795
CHLD 0 1.753906 1645770838.6848
CHLD 1 110.429688 1645770838.6849
CHLD 2 106.769531 1645770838.6850
CHLD 3 112.015625 1645770838.6852
CHLD 4 106.777344 1645770838.6853
MEM 1.707031 1645770838.7870
CHLD 0 1.753906 1645770838.7942
CHLD 1 110.429688 1645770838.7943
CHLD 2 106.773438 1645770838.7944
CHLD 3 112.023438 1645770838.7948
CHLD 4 106.777344 1645770838.7950
MEM 1.707031 1645770838.9022
CHLD 0 1.753906 1645770838.9074
CHLD 1 110.433594 1645770838.9075
CHLD 2 106.773438 1645770838.9076
CHLD 3 112.023438 1645770838.9076
CHLD 4 106.785156 1645770838.9077
MEM 1.707031 1645770839.0087
CHLD 0 1.753906 1645770839.0170
CHLD 1 110.433594 1645770839.0171
CHLD 2 106.777344 1645770839.0172
CHLD 3 112.027344 1645770839.0175
CHLD 4 106.785156 1645770839.0176
MEM 1.707031 1645770839.1219
CHLD 0 1.753906 1645770839.1261
CHLD 1 110.441406 1645770839.1262
CHLD 2 106.781250 1645770839.1262
CHLD 3 112.027344 1645770839.1263
CHLD 4 106.789062 1645770839.1264
MEM 1.707031 1645770839.2378
CHLD 0 1.753906 1645770839.2406
CHLD 1 110.871094 1645770839.2407
CHLD 2 106.785156 1645770839.2408
CHLD 3 112.027344 1645770839.2409
CHLD 4 106.789062 1645770839.2410
MEM 1.707031 1645770839.3453
CHLD 0 1.753906 1645770839.3522
CHLD 1 113.152344 1645770839.3525
CHLD 2 106.789062 1645770839.3526
CHLD 3 112.031250 1645770839.3528
CHLD 4 106.792969 1645770839.3532
MEM 1.707031 1645770839.4721
CHLD 0 1.753906 1645770839.4776
CHLD 1 113.265625 1645770839.4777
CHLD 2 106.789062 1645770839.4779
CHLD 3 112.031250 1645770839.4782
CHLD 4 106.796875 1645770839.4783
MEM 1.707031 1645770839.5797
CHLD 0 1.753906 1645770839.5899
CHLD 1 113.562500 1645770839.5900
CHLD 2 106.789062 1645770839.5901
CHLD 3 112.035156 1645770839.5902
CHLD 4 106.796875 1645770839.5903
MEM 1.707031 1645770839.7272
CHLD 0 1.753906 1645770839.7317
CHLD 1 113.566406 1645770839.7332
CHLD 2 106.796875 1645770839.7337
CHLD 3 112.039062 1645770839.7338
CHLD 4 106.796875 1645770839.7340
MEM 1.707031 1645770839.8585
CHLD 0 1.753906 1645770839.8772
CHLD 1 114.058594 1645770839.8777
CHLD 2 106.800781 1645770839.8778
CHLD 3 112.042969 1645770839.8779
CHLD 4 106.796875 1645770839.8781
MEM 1.707031 1645770839.9893
CHLD 0 1.753906 1645770839.9919
CHLD 1 114.156250 1645770839.9920
CHLD 2 106.804688 1645770839.9921
CHLD 3 112.046875 1645770839.9921
CHLD 4 106.800781 1645770839.9922
MEM 1.707031 1645770840.1590
CHLD 0 1.753906 1645770840.1699
CHLD 1 114.164062 1645770840.1705
CHLD 2 106.808594 1645770840.1707
CHLD 3 112.046875 1645770840.1709
CHLD 4 106.800781 1645770840.1710
MEM 1.707031 1645770840.2869
CHLD 0 1.753906 1645770840.2903
CHLD 1 114.199219 1645770840.2904
CHLD 2 106.812500 1645770840.2905
CHLD 3 112.054688 1645770840.2906
CHLD 4 106.800781 1645770840.2908
MEM 1.707031 1645770840.3916
CHLD 0 1.753906 1645770840.3953
CHLD 1 118.062500 1645770840.3955
CHLD 2 106.816406 1645770840.3957
CHLD 3 112.058594 1645770840.3958
CHLD 4 106.800781 1645770840.3959
MEM 1.707031 1645770840.4971
CHLD 0 1.753906 1645770840.5055
CHLD 1 118.062500 1645770840.5056
CHLD 2 106.820312 1645770840.5057
CHLD 3 112.062500 1645770840.5058
CHLD 4 106.800781 1645770840.5059
MEM 1.707031 1645770840.6073
CHLD 0 1.753906 1645770840.6112
CHLD 1 118.062500 1645770840.6113
CHLD 2 106.820312 1645770840.6114
CHLD 3 112.066406 1645770840.6115
CHLD 4 106.804688 1645770840.6116
MEM 1.707031 1645770840.7187
CHLD 0 1.753906 1645770840.7424
CHLD 1 118.222656 1645770840.7426
CHLD 2 106.820312 1645770840.7427
CHLD 3 112.066406 1645770840.7452
CHLD 4 106.804688 1645770840.7456
MEM 1.707031 1645770840.8592
CHLD 0 1.753906 1645770840.8647
CHLD 1 118.468750 1645770840.8648
CHLD 2 106.949219 1645770840.8649
CHLD 3 112.066406 1645770840.8651
CHLD 4 106.808594 1645770840.8672
MEM 1.707031 1645770840.9716
CHLD 0 1.753906 1645770840.9760
CHLD 1 118.656250 1645770840.9761
CHLD 2 108.351562 1645770840.9762
CHLD 3 112.074219 1645770840.9763
CHLD 4 106.808594 1645770840.9764
MEM 1.707031 1645770841.0779
CHLD 0 1.753906 1645770841.0867
CHLD 1 118.828125 1645770841.0869
CHLD 2 108.351562 1645770841.0870
CHLD 3 112.074219 1645770841.0871
CHLD 4 106.812500 1645770841.0872
MEM 1.707031 1645770841.2050
CHLD 0 1.753906 1645770841.2137
CHLD 1 122.742188 1645770841.2138
CHLD 2 108.355469 1645770841.2139
CHLD 3 112.074219 1645770841.2140
CHLD 4 106.812500 1645770841.2141
MEM 1.707031 1645770841.3268
CHLD 0 1.753906 1645770841.3399
CHLD 1 122.742188 1645770841.3408
CHLD 2 108.359375 1645770841.3648
CHLD 3 112.078125 1645770841.3649
CHLD 4 106.820312 1645770841.3650
MEM 1.707031 1645770841.4700
CHLD 0 1.753906 1645770841.4752
CHLD 1 122.753906 1645770841.4756
CHLD 2 108.359375 1645770841.4759
CHLD 3 112.082031 1645770841.4761
CHLD 4 106.824219 1645770841.4763
MEM 1.707031 1645770841.5798
CHLD 0 1.753906 1645770841.5878
CHLD 1 123.265625 1645770841.5879
CHLD 2 108.367188 1645770841.5881
CHLD 3 112.085938 1645770841.5882
CHLD 4 106.824219 1645770841.5884
MEM 1.707031 1645770841.6894
CHLD 0 1.753906 1645770841.6942
CHLD 1 123.265625 1645770841.6943
CHLD 2 108.371094 1645770841.6945
CHLD 3 112.093750 1645770841.6947
CHLD 4 106.832031 1645770841.6948
MEM 1.707031 1645770841.7955
CHLD 0 1.753906 1645770841.8047
CHLD 1 123.265625 1645770841.8049
CHLD 2 108.375000 1645770841.8050
CHLD 3 112.097656 1645770841.8051
CHLD 4 106.835938 1645770841.8052
MEM 1.707031 1645770841.9062
CHLD 0 1.753906 1645770841.9109
CHLD 1 123.265625 1645770841.9111
CHLD 2 109.804688 1645770841.9112
CHLD 3 112.097656 1645770841.9113
CHLD 4 106.835938 1645770841.9114
MEM 1.707031 1645770842.0123
CHLD 0 1.753906 1645770842.0192
CHLD 1 123.265625 1645770842.0194
CHLD 2 109.871094 1645770842.0195
CHLD 3 112.101562 1645770842.0197
CHLD 4 106.964844 1645770842.0198
MEM 1.707031 1645770842.1212
CHLD 0 1.753906 1645770842.1251
CHLD 1 123.265625 1645770842.1253
CHLD 2 110.125000 1645770842.1254
CHLD 3 112.101562 1645770842.1255
CHLD 4 108.472656 1645770842.1256
MEM 1.707031 1645770842.2268
CHLD 0 1.753906 1645770842.2376
CHLD 1 123.265625 1645770842.2377
